0	26
0	28
0	9
0	15
0	23
0	37
0	2
1	12
1	36
1	11
2	26
2	43
2	28
2	9
2	0
2	15
2	23
2	37
3	26
3	46
3	32
3	35
3	17
4	39
4	33
4	16
4	30
6	23
6	14
6	10
6	45
6	8
7	26
7	43
7	21
7	22
7	23
7	41
7	2
7	19
7	25
8	6
8	23
8	14
8	10
8	45
9	26
9	43
9	0
9	47
9	15
9	23
9	37
9	2
9	18
10	23
10	14
10	2
10	45
10	8
11	26
11	12
11	1
11	23
11	37
11	36
12	1
12	0
12	23
12	37
12	2
12	36
12	11
13	28
13	20
13	23
14	6
14	39
14	23
14	45
15	26
15	9
15	0
15	37
15	2
16	39
16	31
16	4
17	26
17	0
17	3
17	40
17	32
17	35
18	43
18	6
18	9
18	40
18	24
18	22
18	23
19	40
19	23
19	7
20	13
20	28
20	23
21	43
21	0
21	22
21	23
21	41
21	7
21	25
22	21
22	41
22	7
22	25
23	9
23	21
23	24
24	6
24	23
24	19
25	21
25	22
25	23
25	41
25	7
26	9
26	39
26	33
26	15
26	23
26	37
26	2
26	35
26	17
28	13
28	6
28	0
28	20
28	23
28	41
28	2
29	48
29	31
29	23
29	34
29	42
30	0
30	39
30	21
30	4
30	33
30	23
31	48
31	29
31	34
31	42
32	3
32	23
32	35
32	17
33	26
33	39
33	4
33	23
33	30
34	48
34	31
34	29
34	42
35	26
35	43
35	28
35	9
35	3
35	32
35	23
35	17
36	12
36	1
36	22
36	11
37	26
37	9
37	0
37	15
37	23
37	2
39	26
39	4
39	33
39	14
39	30
40	43
40	19
40	18
41	43
41	6
41	28
41	9
41	0
41	21
41	24
41	22
41	23
41	7
41	25
42	31
42	29
42	23
42	34
43	6
43	40
43	23
45	6
45	23
45	14
45	10
45	8
46	43
46	0
46	41
46	19
47	9
48	31
48	29
48	34
48	42
